nct_number,study_title,study_url,study_status,conditions,interventions,sponsor,collaborators,sex,age,phases,enrollment,study_type,start_date,completion_date,locations
NCT02787746,Safety and Efficacy of Donepezil in Mild to Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02787746,completed,alzheimer's disease,drug: donepezil,beijing friendship hospital,"Eisai China Inc.|Xuanwu Hospital, Beijing",all,"adult, older_adult",PHASE4,241,interventional,,,"beijing friendship hospital, capital medical university, beijing, beijing, china"
NCT01439555,Endothelial Facilitation in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01439555,completed,alzheimer's disease,drug: simvastatin|drug: l-arginine|drug: tetrahydrobiopterin,"university of massachusetts, worcester",The Glass Foundation,all,"adult, older_adult",PHASE2,11,interventional,,,"umass medical school/ umass memorial medical center, worcester, massachusetts, 01655, united states"
NCT01388478,Safety Study of R(+)Pramipexole to Treat Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01388478,completed,alzheimer's disease,drug: r-pramipexole,virginia commonwealth university,University of Kansas|Alzheimer's Drug Discovery Foundation,all,"adult, older_adult",PHASE2,20,interventional,,,"university of kansas medical center, kansas city, kansas, 66160, united states"
NCT02708485,Effect of Walking on Brain Fuel Consumption in Mild Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02708485,completed,alzheimer's disease,other: physical exercise,université de sherbrooke,,all,"adult, older_adult",,15,interventional,,,"research centre on aging (csss-iugs - ciusss de l'estrie - chus), sherbrooke, quebec, j1h4c4, canada"
NCT01409915,Study of the Safety & Efficacy of Leukine® in the Treatment of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01409915,completed,alzheimer's disease,drug: sagramostim|drug: saline -- placebo comparator,"university of colorado, denver",The Dana Foundation,all,"adult, older_adult",PHASE2,44,interventional,,2019-12-09,"university of colorado denver, anschutz medical campus, aurora, colorado, 80045, united states"
NCT01561053,A Study to Evaluate Albumin and Immunoglobulin in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01561053,completed,alzheimer's disease,biological: albumin 5%|biological: albumin 20%|biological: immunoglobulin,"instituto grifols, s.a.","Grifols Biologicals, LLC",all,"adult, older_adult",PHASE2|PHASE3,347,interventional,2012-04-19,2018-03-06,"northern california research, sacramento, california, 95821, united states|mountain view clinical research, inc, denver, colorado, 80209, united states|howard university, washington, district of columbia, 20059, united states|bradenton research center, inc., bradenton, florida, 34205, united states|quantum laboratories, deerfield beach, florida, 33064, united states|galiz research, llc, hialeah, florida, 33016, united states|largo medical center, largo, florida, 33770, united states|l&l research choices, inc, miami, florida, 33144, united states|allied biomedical research institute, miami, florida, 33155, united states|miami dade medical research institute, llc, miami, florida, 33176, united states|neurology associates of osmond beach, ormond beach, florida, 32174, united states|pharmaseek llc (dmi research), pinellas park, florida, 33782, united states|iresearch atlanta, llc, decatur, georgia, 30030, united states|rtr medical group, savannah, georgia, 31419, united states|dartmouth-hitchcock medical center, lebanon, new hampshire, 03756, united states|mid-atlantic geriatric/arc, manchester, new jersey, 08759, united states|the neurocognitive institute, mount arlington, new jersey, 08756, united states|the cleveland clinic foundation, cleveland, ohio, 44195, united states|neurology specialists inc, dayton, ohio, 45417, united states|university of pittsburgh medical center, pittsburgh, pennsylvania, 15213, united states|roper st. francis healthcare, charleston, south carolina, 29401, united states|wesley neurology clinic, cordova, tennessee, 38018, united states|hospital general de elche, elche, alicante, 03203, spain|hospital universitario del vinalopó, elche, alicante, 03293, spain|hospital universitari de bellvitge, hospitalet de llobregat, barcelona, 08907, spain|hospital general de catalunya, sant cugat del vallès, barcelona, 08190, spain|hospital universitari mútua de terrassa, terrassa, barcelona, 08221, spain|hospital universitario nuestra señora de candelaria, santa cruz de tenerife, canary islands, 38010, spain|hospital universitario de getafe, getafe, madrid, 28905, spain|fundació ace, barcelona, 08028, spain|hospital vall d'hebrón, barcelona, 08035, spain|hospital de la santa creu i sant pau, barcelona, 08041, spain|hospital universitario de burgos, burgos, 09005, spain|parc hospitalari martí i julià, girona, 17190, spain|hospital universitari de santa maria, lleida, 25198, spain|hospital general universitario gregorio marañón, madrid, 28007, spain|hospital clínico san carlos, madrid, 28040, spain|hospital universitario doctor peset, valencia, 46017, spain|hospital universitario y politécnico la fe, valencia, 46026, spain|hospital viamed montecanal, zaragoza, 50012, spain"
NCT02359552,Rasagiline Rescue in Alzheimer's Disease Clinical Trial,https://clinicaltrials.gov/study/NCT02359552,completed,alzheimer's disease,drug: rasagiline|drug: placebo,the cleveland clinic,,all,"adult, older_adult",PHASE2,50,interventional,,2019-01-04,"cleveland clinic lou ruvo center for brain health, las vegas, nevada, 89106, united states|cleveland clinic main campus, cleveland, ohio, 44195, united states|cleveland clinic lakewood hospital, lakewood, ohio, 44107, united states"
NCT03817684,Tetra PICASSO AD Trial: Study to Evaluate Effects of BPN14770 in Early Alzheimer's Subjects,https://clinicaltrials.gov/study/NCT03817684,completed,alzheimer's disease,drug: bpn14770|drug: placebo,tetra discovery partners,,all,"adult, older_adult",PHASE2,255,interventional,2019-04-30,2020-02-04,"generations at agritopia/cct research, gilbert, arizona, 85296, united states|citrials, inc., bellflower, california, 90709, united states|atp clinical research, inc, costa mesa, california, 92626, united states|alliance for research, long beach, california, 90807, united states|pacific research network inc., san diego, california, 92103, united states|hb clinical trials, inc., santa ana, california, 92704, united states|mile high research center, denver, colorado, 80218, united states|jem research insitute, atlantis, florida, 33462, united states|linfritz research group, coral gables, florida, 33134, united states|brain matters research, delray beach, florida, 33445, united states|md clinical, hallandale beach, florida, 33009, united states|galiz research, hialeah, florida, 33016, united states|alzheimer's research and treatement center, lake worth, florida, 33449, united states|optimus clinical research, miami, florida, 33125, united states|biomed research institute, miami, florida, 33126, united states|finlay medical research, miami, florida, 33126, united states|pharmax research clinic, miami, florida, 33126, united states|vitae research center, llc, miami, florida, 33135, united states|arocha research center, miami, florida, 33145, united states|allied biomedical research institute inc., miami, florida, 33155, united states|advanced clinical research network, miami, florida, 33176, united states|gutierrez medical center lld, orlando, florida, 32807, united states|neurology associates of ormond beach, ormond beach, florida, 32174, united states|palm beach neurological center, palm beach, florida, 33410, united states|imic inc, palmetto bay, florida, 33157, united states|synergy clinical research, pensacola, florida, 32514, united states|quantum laboratories, pompano beach, florida, 33064, united states|neurosciences research, elk grove village, illinois, 60007, united states|hassman research institute, berlin, new jersey, 08009, united states|advanced memory research institute of nj pc, toms river, new jersey, 08755, united states|integrative clinical trials, brooklyn, new york, 11229, united states|neurological associates of long island, lake success, new york, 11042, united states|manhattan behavioral medicine pllc, new york, new york, 10036, united states|alzheimers memory center, charlotte, north carolina, 28270, united states|neurology diagnostics, inc., dayton, ohio, 45459, united states|mdh research, westerville, ohio, 43081, united states|summit research network, portland, oregon, 97210, united states|lehigh center for clinical research, allentown, pennsylvania, 18104, united states|neurology clinic, p.c., cordova, tennessee, 38018, united states|aspen clinical research, orem, utah, 84058, united states|wasatch clinical research, llc, salt lake city, utah, 84107, united states"
NCT02719327,Brain Amyloid and Vascular Effects of Eicosapentaenoic Acid,https://clinicaltrials.gov/study/NCT02719327,completed,alzheimer's disease,drug: icosapent ethyl (ipe)|other: gel cap placebo,va office of research and development,"University of Wisconsin, Madison",all,"adult, older_adult",PHASE2|PHASE3,131,interventional,2017-06-08,2023-09-29,"william s. middleton memorial veterans hospital, madison, wi, madison, wisconsin, 53705-2254, united states"
NCT02002819,Levetiracetam for Alzheimer's Disease-Associated Network Hyperexcitability,https://clinicaltrials.gov/study/NCT02002819,completed,alzheimer's disease,drug: levetiracetam,university of minnesota,,all,"adult, older_adult",PHASE2,34,interventional,2014-10-16,2020-07-21,"ucsf, san francisco, california, 94158, united states|university of minnesota, minneapolis, minnesota, 55455, united states"
NCT02431468,A Study Assessing Bryostatin in the Treatment of Moderately Severe to Severe Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02431468,completed,alzheimer's disease,drug: bryostatin 1|other: placebo,"neurotrope bioscience, inc.",,all,"adult, older_adult",PHASE2,147,interventional,,,"xenoscience, inc/ 21st century neurology, phoenix, arizona, 85004, united states|atp clinical research, inc., costa mesa, california, 92626, united states|nader pharmacology research institute, los alamitos, california, 90720, united states|san francisco clinical research center, san francisco, california, 94109, united states|jem research, atlantis, florida, 33462, united states|brain matters research, delray beach, florida, 33445, united states|neuropsychiatric research center of south florida, fort myers, florida, 33912, united states|alzheimer's research and treatment center, lake worth, florida, 33449, united states|miami jewish health system, miami, florida, 33137, united states|medical research group of central florida, orange city, florida, 32763, united states|compass research, llc, orlando, florida, 32806, united states|axiom clinical research of florida, tampa, florida, 33609, united states|compass research, the villages, florida, 32162, united states|atlanta center for medical research, atlanta, georgia, 30331, united states|iresearch atlanta, decatur, georgia, 30030, united states|alexian brothers neurosciences institute clinical research, elk grove village, illinois, 60007, united states|university of kansas alzheimer's disease center, fairway, kansas, 66205, united states|lake charles clinical trials, lake charles, louisiana, 70629, united states|j. gary booker, md apmc clinical drug trials, shreveport, louisiana, 71104, united states|millennium psychiatric associates, creve coeur, missouri, 63141, united states|atlantic neuroscience institute, springfield, new jersey, 07801, united states|neurological associates of albany, pc, albany, new york, 12208, united states|parker jewish institute for health care and rehabilitation, new hyde park, new york, 11040, united states|alzheimer's memory center, charlotte, north carolina, 28270, united states|neurobehavioral clinical research, canton, ohio, 44718, united states|oklahoma clinical research center, oklahoma city, oklahoma, 73112, united states|sunstone clinical research, medford, oregon, 97504, united states|the clinical trial center, llc, jenkintown, pennsylvania, united states|neurology clinic, pc, cordova, tennessee, 38018, united states"
NCT04851691,An Electronic Clinical Decision Support Tool to Reduce Low-value Antipsychotic Prescriptions,https://clinicaltrials.gov/study/NCT04851691,completed,alzheimer disease|dementia alzheimers|dementia of alzheimer type,behavioral: ehr cds|other: usual care,"university of california, los angeles",National Institute on Aging (NIA),all,"adult, older_adult",,158,interventional,2021-08-03,2023-08-14,"ucla health, los angeles, california, 90095, united states"
NCT02167256,"A Phase IIa Multi-Center Study of 18F-FDG PET, Safety, and Tolerability of AZD0530 in Mild Alzheimer's Disease",https://clinicaltrials.gov/study/NCT02167256,completed,alzheimer's disease,drug: azd0530 100mg daily|drug: azd0530 125mg daily|drug: placebo,yale university,Alzheimer's Therapeutic Research Institute,all,"adult, older_adult",PHASE2,159,interventional,,2018-02-27,"barrow neurological institute, phoenix, arizona, 85013, united states|banner sun health research institute, sun city, arizona, 85351, united states|university of california, los angeles, los angeles, california, 90095, united states|yale alzheimer's disease research unit, new haven, connecticut, 06510, united states|georgetown university, washington, district of columbia, 20057, united states|wien center for clinical research/mount sinai medical center, miami beach, florida, 33140, united states|university of south florida - health byrd alzheimer institute, tampa, florida, 33613, united states|northwestern university, chicago, illinois, 60611, united states|rush university medical center, chicago, illinois, 60612, united states|indiana university, indianapolis, indiana, 46202, united states|university of iowa, iowa city, iowa, 52242, united states|university of kentucky, lexington, kentucky, 40504, united states|brigham and women's hospital, boston, massachusetts, 02115, united states|university of michigan, ann arbor, ann arbor, michigan, 48105-2945, united states|mount sinai school of medicine, new york, new york, 10029, united states|university of rochester medical center, rochester, new york, 14620, united states|wake forest university health sciences, winston-salem, north carolina, 27157, united states|oregon health & science university, portland, oregon, 97239, united states|university of pittsburgh, alzheimer's disease research center, pittsburgh, pennsylvania, 15213, united states|roper st. francis hospital, charleston, south carolina, 29401, united states|university of washington, seattle, washington, 98108, united states|university of british columbia, clinic for ad & related disorders, vancouver, british columbia, v6t 1z3, canada"
NCT02551809,"Evaluate the Safety, Tolerability, Immunogenicity and Efficacy of UB-311 in Mild Alzheimer's Disease (AD) Patients",https://clinicaltrials.gov/study/NCT02551809,completed,alzheimer's disease,biological: ub-311|drug: placebo,united neuroscience ltd.,,all,"adult, older_adult",PHASE2,43,interventional,,,"kaohsiung chang gung memorial hospital (ks-cgmh), kaohsiung, taiwan|national taiwan university hospital (ntuh), taipei, taiwan|taipei veterans general hospital (tvgh), taipei, taiwan|linkou chang gung memorial hospital (lk-cgmh), taoyuan, taiwan"
NCT03594123,A 12-week Extension Trial to Evaluate the Safety and Tolerability of Brexpiprazole in the Treatment of Subjects With Agitation Associated With Dementia of the Alzheimer's Type,https://clinicaltrials.gov/study/NCT03594123,completed,alzheimer's disease,drug: brexpiprazole|drug: brexpiprazole,"otsuka pharmaceutical development & commercialization, inc.",H. Lundbeck A/S,all,"adult, older_adult",PHASE3,259,interventional,2018-10-11,2022-09-19,"for additional information regarding sites, contact 844-687-8522, miami, florida, 33155, united states"
NCT02051608,A Study of Gantenerumab in Participants With Mild Alzheimer Disease,https://clinicaltrials.gov/study/NCT02051608,completed,alzheimer's disease,drug: placebo|drug: gantenerumab,hoffmann-la roche,,all,"adult, older_adult",PHASE3,389,interventional,2014-03-27,2021-04-16,"banner sun health research insitute, sun city, arizona, 85351, united states|territory neurology and research institute, tucson, arizona, 85704, united states|atp clinical research, inc, costa mesa, california, 92626, united states|pacific research network - prn, san diego, california, 92103, united states|california neuroscience research medical group, inc, sherman oaks, california, 91403, united states|meridien research, brooksville, florida, 34601, united states|brain matters research, inc., delray beach, florida, 33445, united states|neuropsychiatric research; center of southwest florida, fort myers, florida, 33912, united states|miami jewish health systems; clinical research, miami, florida, 33137, united states|accelerated enrollment solutions, orlando, florida, 32806, united states|university of south florida, tampa, florida, 33613-4706, united states|alzheimer's research and treatment center, wellington, florida, 33414, united states|indiana university, indianapolis, indiana, 46202, united states|pennington biomedical research center, baton rouge, louisiana, 70808, united states|louisiana research associates, new orleans, louisiana, 70114, united states|western michigan university homer stryker m.d. school of medicine center for clinical research, kalamazoo, michigan, 49008, united states|millennium psychiatric associates, llc, saint louis, missouri, 63132, united states|alzheimer's research corporation, manchester, new jersey, 08759, united states|ocean rheumatology, toms river, new jersey, 08775, united states|nathan kline institute, orangeburg, new york, 10962, united states|richmond behavioral associates, staten island, new york, 10312, united states|alzheimer's memory center, matthews, north carolina, 28105, united states|richard h weisler, md, raleigh, north carolina, 27609, united states|central states research, tulsa, oklahoma, 74136, united states|abington neurological associates, abington, pennsylvania, 19001, united states|northeastern pennsylvania memory, plains, pennsylvania, 18705, united states|rhode island mood & memory research institute, east providence, rhode island, 02914, united states|neurology clinic pc, cordova, tennessee, 38018, united states|senior adults specialty research, austin, texas, 78757, united states|university of utah, center for alzheimer's care imaging & research, salt lake city, utah, 84108, united states|instituto neurologia bs as, ciudad autonoma buenos aires, c1426anz, argentina|royal adelaide hospital; memory trials centre, adelaide, south australia, 5000, australia|the queen elizabeth hospital; neurology, woodville, south australia, 5011, australia|heidelberg repatriation hospital; medical and cognitive research centre, heidelberg west, victoria, 3081, australia|australian alzheimer's research foundation, nedlands, western australia, 6009, australia|cliniques universitaires st-luc, bruxelles, 1200, belgium|uz leuven gasthuisberg, leuven, 3000, belgium|shat np sveti naum; 3rd clinic of neurology, sofia, 1113, bulgaria|mbal st. marina; first neurology department, varna, 9010, bulgaria|university of calgary; heritage medical research clinic, calgary, alberta, t2n 4z6, canada|true north clinical research-halifax, halifax, nova scotia, b3s 1n2, canada|true north clinical research, new minas, nova scotia, b4n 3r7, canada|jbn medical diagnostic services inc., burlington, ontario, l7m 4y1, canada|parkwood hospital; geriatric medicine, london, ontario, n6c 5j1, canada|kawartha centre - redefining healthy aging, peterborough, ontario, k9h 2p4, canada|toronto memory program, toronto, ontario, m3b 2s7, canada|sunnybrook health sciences centre, toronto, ontario, m4n 3m5, canada|recherches neuro-hippocame, gatineau, quebec, j8t 8j1, canada|neurosearch developpements inc, greenfield park, quebec, j4v 2j2, canada|jewish general hospital / mcgill university, montreal, quebec, h3t 1e2, canada|centre hospitalier affilie universitaire de quebec - hopital de l'enfant jesus, quebec city, quebec, g1j 1z4, canada|mcgill univeristy; douglas mental health university institute; neurological and psychiatric, verdun, quebec, h4h 1r3, canada|alpha recherche clinique, quebec, g3k 2p8, canada|aarhus universitetshospital, neurologisk afdeling f, demensklinikken, aarhus n, 8200, denmark|rigshospitalet, hukommelsesklinikken, koebenhavn oe, 2100, denmark|university of eastern finland, kuopio, 70210, finland|crst oy, turku, 20520, finland|hopital pellegrin; cmrr aquitaine, bordeaux, 33076, france|hopital pierre wertheimer; laboratoire de neuro psychologie, bron, 69677, france|chu de limoges hopital dupuytren; service de medecine geriatrique, limoges, 87042, france|chu de la timone - hopital d adultes; service de neurologie, marseille, 13005, france|chu rennes - hopital hotel dieu; consultation memoire - gerontologie, rennes, 35064, france|hopital hautepierre; centre dinvestigation clinique, strasbourg, 67098, france|hopital la grave; gerontopole - centre de recherche clinique, toulouse, 31059, france|ecrc experimental and clinical research center, charité campus berlin buch, memory clinic, berlin, 13125, germany|panakeia - arzneimittelforschung leipzig gmbh, leipzig, 04275, germany|pharmakologisches studienzentrum, mittweida, 09648, germany|klinikum rechts der isar der tu münchen; klinikapotheke, muenchen, 81675, germany|neurologische praxis dr. andrej pauls, münchen, 80331, germany|universitätsklinikum ulm; klinik für neurologie, ulm, 89081, germany|studienzentrum nordwest, dr. med. joachim springub / herr wolfgang schwarz, westerstede, 26655, germany|semmelweis university; department of neurology, budapest, 1083, hungary|nuovo ospedale civile s. agostino-estense; clinica neurologica - dipartimento di neuroscienze, modena, emilia-romagna, 41126, italy|azienda ospedaliera universitaria policlinico tor vergata; neurologia, roma, lazio, 00133, italy|umberto i policlinico di roma-università di roma la sapienza, roma, lazio, 00185, italy|irccs ""centro s. giovanni di dio"" fatebenefratelli -uo alzheimer, brescia, lombardia, 25125, italy|irccs multimedica santa maria; unita' di neurologia, castellanza, lombardia, 21053, italy|asst di monza; neurologia, monza, lombardia, 20900, italy|a.o. universitaria pisana; neurologia, pisa, toscana, 56126, italy|medical corporation hakuyokai kashiwado hospital, chiba, 260-8656, japan|national hospital organization chiba-east hospital; neurology, chiba, 260-8712, japan|juntendo university urayasu hospital; neurology, chiba, 279-0021, japan|fukuoka university hospital; neurology and health care, fukuoka, 814-0180, japan|maebashi red cross hospital; neurology, gunma, 371-0014, japan|national hospital organization hiroshima-nishi medical center, hiroshima, 739-0696, japan|hyogo brain and heart center at himeji; department of aging brain and cognitive disorders, hyogo, 670-0981, japan|shonan kamakura general hospital; neurology, kanagawa, 247-8533, japan|oita university hospital; neurology, oita, 879-5593, japan|kurashiki heisei hospital; neurology, okayama, 710-0826, japan|shizuoka city shimizu hospital; neurology, shizuoka, 424-0911, japan|dong-a university medical center, busan, 602-715, korea, republic of|seoul national university bundang hospital; neurology department, gyeonggi-do, 13620, korea, republic of|inha university hospital; neurology department, incheon, 22332, korea, republic of|konkuk university medical center, seoul, 05030, korea, republic of|samsung medical center, seoul, 06351, korea, republic of|ewha womans university hospital (seoul), seoul, 07804, korea, republic of|the catholic university of korea, seoul st. mary's hospital, seoul, 137-701, korea, republic of|asan medical center., seoul, 138-736, korea, republic of|ewha womans university mokdong hospital; dept of neurology, seoul, 158-710, korea, republic of|brain research center b.v, amsterdam, 1081 gn, netherlands|erasmus mc - locatie centrum; dept of neurology, rotterdam, 3015 gd, netherlands|hospital prof. dr. fernando fonseca; servico de neurologia, amadora, 2720-276, portugal|hospital de santa maria; servico de neurologia, lisboa, 1649-035, portugal|state autonomous healthcare institution ""republican clinical neurological center, kazan, 420021, russian federation|state autonomous institution of healthcare inter-regional clinical and diagnostic center, kazan, 420101, russian federation|institution of rams (mental health research center of rams), moscow, 115522, russian federation|sbei of hpi the 1st moscow state medical university n.a. i.m. sechenov of moh of rf, moscow, 119021, russian federation|saint petersburg state institution of healthcare city geriatric medico-social center, saint petersburg, 190103, russian federation|city clinical hospital # 2 n.a. v.i. razumovsky, saratov, 410028, russian federation|russian medical military academy n.a. s.m.kirov; neurology department, st. petersburg, 194044, russian federation|hospital general universitario de elche; servicio de neurología, elche, alicante, 03203, spain|fundació ace, barcelon, barcelona, 08034, spain|policlínica guipuzkoa; servicio de neurología, donosti-san sebastián, guipuzcoa, 20014, spain|hospital de cruces; servicio de neurologia, barakaldo, vizcaya, 48903, spain|hospital del mar; servicio de neurologia, barcelona, 08003, spain|hospital universitario 12 de octubre; servicio de neurologia, madrid, 28041, spain|hospital universitario virgen macarena; servicio de neurologia, sevilla, 41009, spain|hospital universitari i politecnic la fe, valencia, 46026, spain|skånes universitetssjukhus malmö, minneskliniken, malmö, 211 46, sweden|karolinska uni hospital, huddinge; mottagning kognitiv forskning, m54, stockholm, 141 86, sweden|felix platter-spital medizin geriatrie, basel, 4002, switzerland|chuv lausanne memory clinique, lausanne, 1011, switzerland|istanbul university istanbul school of medicine; neurology, istanbul, 34093, turkey|dokuz eylul university medicine faculty; noroloji departmani, izmir, 35340, turkey|ondokuz mayis university school of medicine; neurology, samsun, 55139, turkey|sussex partnership nhs foundation trust; cognitive treatment and research unit, crowborough, tn6 1hb, united kingdom|glasgow memory clinic, glasgow, g20 0xa, united kingdom|charing cross hospital; dept of neurosciences, london, w6 8rf, united kingdom|manchester royal infirmary, manchester, m13 9wl, united kingdom|royal preston hosptial, preston, pr2 9ht, united kingdom|memory service north, sheffield, s35 8qs, united kingdom"
NCT02989402,"A Phase IV Study to Evaluate Safety, Tolerability and Effectiveness of Rivastigmine Patch 15cm2 in Patients With Severe Dementia of the Alzheimer's Type.",https://clinicaltrials.gov/study/NCT02989402,completed,alzheimer's disease,drug: rivastigmine,novartis pharmaceuticals,,all,"child, adult, older_adult",PHASE4,100,interventional,2018-12-31,2022-12-08,"novartis investigative site, bangalore, karnataka, 560 055, india|novartis investigative site, bangalore, karnataka, 560052, india|novartis investigative site, banglaore, karnataka, 560052, india|novartis investigative site, bengaluru, karnataka, 560005, india|novartis investigative site, mumbai, maharashtra, 400 053, india|novartis investigative site, hyderabad, telangana, 500082, india|novartis investigative site, lucknow, uttar pradesh, 226003, india|novartis investigative site, kolkata, west bengal, 700017, india|novartis investigative site, kolkata, west bengal, 700054, india"
