NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Study Type,Start Date,Completion Date,Locations
NCT03117738,A Study to Evaluate the Safety and Efficacy of AstroStem in Treatment of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03117738,COMPLETED,Alzheimer Disease,DRUG: AstroStem|OTHER: Placebo-Control,Nature Cell Co. Ltd.,,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,21,INTERVENTIONAL,2017-05-09,2019-08-31,"ATP Clinical Research, Costa Mesa, California, 92626, United States|Syrentis Clinical Research, Santa Ana, California, 92705, United States|Valden Medical, Honolulu, Hawaii, 96817, United States"
NCT03493282,Effect of CT1812 Treatment on Brain Synaptic Density,https://clinicaltrials.gov/study/NCT03493282,COMPLETED,Alzheimer Disease,DRUG: Active Treatment- CT1812 100 mg|DRUG: Active Treatment- CT1812 300 mg|DRUG: Placebo,Cognition Therapeutics,National Institute on Aging (NIA),ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,43,INTERVENTIONAL,2018-03-28,2020-10-16,"Yale University School of Medicine, New Haven, Connecticut, 06510, United States"
NCT03019536,A Study of LY3303560 in Participants With Mild Cognitive Impairment or Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03019536,COMPLETED,Alzheimer Disease,DRUG: LY3303560 - IV|DRUG: Placebo - IV|DRUG: Florbetapir F 18|DRUG: Flortaucipir F18,Eli Lilly and Company,,ALL,"ADULT, OLDER_ADULT",PHASE1,22,INTERVENTIONAL,2017-01-31,2019-06-05,"Bioclinica, Melbourne, Florida, 32940, United States|Bioclinica, Orlando, Florida, 32806, United States|Progressive Medical Research, Port Orange, Florida, 32127, United States|Bioclinica, The Villages, Florida, 32162, United States|Princeton Medical Institute, Princeton, New Jersey, 08540, United States|For additional information regarding investigative sites for this trial, contact 1-888-545-5972 Mon - Fri, 9 AM to 4 PM or 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time or speak with your personal physician., Bunkyo-ku, 113-8655, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Hyogo, 650-0047, Japan|For additional information regarding investigative sites for this trial, contact 1-888-545-5972 Mon - Fri, 9 AM to 4 PM or 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time or speak with your personal physician., Kurume, 830-0011, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Tokyo, 192-0071, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Bath, BA1 3NG, United Kingdom|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., London, W6 8RF, United Kingdom"
NCT02910739,An Open-Label Study Investigating MK-8931 in Participants With Mild and Moderate Hepatic Insufficiency (MK-8931-016),https://clinicaltrials.gov/study/NCT02910739,COMPLETED,Amnestic Mild Cognitive Impairment|Alzheimer's Disease|Prodromal Alzheimer's Disease,DRUG: MK-8931,Merck Sharp & Dohme LLC,,ALL,"ADULT, OLDER_ADULT",PHASE1,16,INTERVENTIONAL,2016-10-11,2017-04-12,
NCT02624778,A Study of LY3002813 in Participants With Memory Damage Due to Alzheimer's Disease (AD) or AD,https://clinicaltrials.gov/study/NCT02624778,COMPLETED,Alzheimer Disease,BIOLOGICAL: LY3002813|DRUG: Placebo,Eli Lilly and Company,,ALL,"ADULT, OLDER_ADULT",PHASE1,61,INTERVENTIONAL,2015-12-22,2019-08-28,"Brain Matters Research, Delray Beach, Florida, 33445, United States|Compass Research, Orlando, Florida, 32806, United States|Compass Research, The Villages, Florida, 32162, United States|SNBL Clinical Pharmacology Center Inc, Baltimore, Maryland, 21201, United States|St. Louis Clinical Trials, LC, Saint Louis, Missouri, 63141, United States|PRA Health Sciences, Salt Lake City, Utah, 84106, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Shinjuku-Ku, 162-0053, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Shinjuku-Ku, 169-0073, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Sumida-ku, 130-0004, Japan"
NCT03520998,A Randomized Study to Assess the Safety of GRF6019 Infusions in Subjects With Mild to Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03520998,COMPLETED,Alzheimer Disease|Mild to Moderate Alzheimer Disease,DRUG: GRF6019,"Alkahest, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE2,47,INTERVENTIONAL,2018-04-16,2019-05-24,"Synergy East, Lemon Grove, California, 91945, United States|CNS Network, Long Beach, California, 90806, United States|Pacific Research Network, San Diego, California, 92103, United States|MD Clinical, Hallandale Beach, Florida, 33009, United States|Miami Jewish Health Systems, Miami, Florida, 33137, United States|Behavioral Clinical Research, North Miami, Florida, 33161, United States|Bioclinica Research, Orlando, Florida, 32806, United States|Princeton Medical Institute, Princeton, New Jersey, 08540, United States|Serenity Inpatient, DeSoto, Texas, 75115, United States|PRA Health Sciences, Salt Lake City, Utah, 84124, United States"
NCT03046121,A Family-centered Intervention for Acutely-ill Persons With Dementia,https://clinicaltrials.gov/study/NCT03046121,COMPLETED,Alzheimer Disease,BEHAVIORAL: Family-centered Function-focused Care (Fam-FFC),Penn State University,National Institutes of Health (NIH)|National Institute on Aging (NIA),ALL,OLDER_ADULT,NA,461,INTERVENTIONAL,2017-11-06,2023-12-23,"Lancaster General Medical Center, Lancaster, Pennsylvania, 17602, United States|Presbyterian Medical Center, Philadelphia, Pennsylvania, 19104, United States|Chester County Hospital, West Chester, Pennsylvania, 19380, United States"
NCT02788513,BI 425809 in Patients With Cognitive Impairment Due to Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT02788513,COMPLETED,Alzheimer Disease,DRUG: BI 425809 dose 1|DRUG: BI 425809 dose 2|DRUG: BI 425809 dose 3|DRUG: BI 425809 dose 4|DRUG: Placebo,Boehringer Ingelheim,,ALL,"ADULT, OLDER_ADULT",PHASE2,611,INTERVENTIONAL,2016-08-11,2019-10-11,"Axiom Research LLC, Colton, California, 92324, United States|Alliance for Wellness, Long Beach, California, 90807, United States|Anderson Clinical Research, Redlands, California, 92374, United States|CITrials, Santa Ana, California, 92705, United States|MD Clinical, Hallandale Beach, Florida, 33009, United States|Galiz Research, Miami, Florida, 33016, United States|Premier Clinical Research Institute, Miami, Florida, 33122, United States|Miami Jewish Health System, Miami, Florida, 33137, United States|Stedman Clinical Trials, Tampa, Florida, 33613, United States|Bioclinica Research, The Villages, Florida, 32162, United States|Neuro Trials Research Incorporated, Atlanta, Georgia, 30342, United States|Millennium Psychiatric Associates LLC, Saint Louis, Missouri, 63132, United States|ANI Neurology, PLLC, dba Alzheimer's Memory Center, Charlotte, North Carolina, 28270, United States|Tulsa Clinical Research, LLC, Tulsa, Oklahoma, 74104, United States|Northeastern Pennsylvania Memory and Alzheimer Center, Plains, Pennsylvania, 18705, United States|Roper St. Francis Healthcare, Charleston, South Carolina, 29401, United States|The Memory Clinic, Bennington, Vermont, 05201, United States|LKH-Univ. Hospital Graz, Graz, 8036, Austria|Medical University of Innsbruck, Innsbruck, 6020, Austria|SALK Christian-Doppler-Klinik,Paracel.Med.Privatuni.f.Neurol, Salzburg, 5020, Austria|Private Practice for Psychiatry and Neurology, Vienna, 1130, Austria|The Medical Arts Health Research Group, Kelowna, British Columbia, V1Y 4N7, Canada|True North Clinical Research Halifax, Inc., Halifax, Nova Scotia, B3S 1M7, Canada|True North Clinical Research Kentville, Inc., Kentville, Nova Scotia, B4N 4K9, Canada|Bluewater Clinical Research, Sarnia, Ontario, N7T 4X3, Canada|Clinique Neuro-Outaouais, Gatineau, Quebec, J8Y 1W2, Canada|Diex Recherche, Sherbrooke, Quebec, J1H 0H8, Canada|Orton, Helsinki, FI-00280, Finland|University of Eastern Finland, Brain Research Unit, Kuopio, 70210, Finland|Terveystalo Lahti, Lahti, 15110, Finland|OYS, Neurologian tutkimusyksikkö, Oulu, 90220, Finland|CRST - Clinical Research Services Turku, Turku, 20520, Finland|HOP Pellegrin, Bordeaux, 33076, France|HOP Pierre Wertheimer, Bron, 69677, France|HOP Roger Salengro, Lille, 59037, France|HOP Gui de Chauliac, Montpellier, 34295, France|HOP Nord Laënnec, Nantes, 44093, France|HOP La Pitié Salpêtrière, Paris, 75651, France|CHU La Grave-Casselardit - Cité de la Santé, Toulouse, 31052, France|HOP Brabois, Vandoeuvre les Nancy, 54500, France|HOP des Charpennes, Villeurbanne, 69100, France|Zentrum für klinische Forschung Dr. med. Irma Schöll & Kollegen, Bad Homburg, 61348, Germany|Praxis Dr. med. Volker Schumann, Berlin, 10245, Germany|Charité - Universitätsmedizin Berlin, Berlin, 12200, Germany|Charité - Universitätsmedizin Berlin, Berlin, 13125, Germany|Praxis Dr. Oehlwein, Gera, 07551, Germany|Universitätsklinikum Köln (AöR), Köln, 50937, Germany|Pharmakologisches Studienzentrum Chemnitz, Mittweida, 09648, Germany|Institut für Psychogerontologie, Nürnberg, 90408, Germany|Neuropraxis München Süd, Unterhaching, Unterhaching, 82008, Germany|Naval Hospital of Athens, Athens, 11521, Greece|Eginition Hospital, Athens, 11528, Greece|University General Hospital Attikon, Athens, 124 62, Greece|Athens Medical Center, Athens, 15125, Greece|University General Hospital of Thessaloniki AHEPA, Thessaloniki, 54621, Greece|University General Hospital of Thessaloniki AHEPA, Thessaloniki, 54636, Greece|Semmelweis University, Budapest, 1083, Hungary|CRU Ltd, Neurology Dept., Miskolc, Miskolc, 3526, Hungary|University of Szeged, Szeged, 6725, Hungary|IRCCS Fondazione Ospedale Maggiore, Milano, 20122, Italy|A.O. San Gerardo di Monza, Monza (MB), 20900, Italy|Azienda Ospedaliera Universitaria di Padova, Padova, 35128, Italy|Azienda Ospedaliera Universitaria Pisana, Pisa, 56126, Italy|Fujita Health University Hospital, Aichi, Toyoake, 470-1192, Japan|Inage Neurology and Memory Clinic, Chiba, Chiba, 263-0043, Japan|Sapporo Medical University Hospital, Hokkaido, Sapporo, 060-8543, Japan|Kagawa University Hospital, Kagawa, Kita-gun, 761-0793, Japan|Kawashima Neurology Clinic, Kanagawa, Fujisawa, 251-0038, Japan|Ishikawa Clinic, Kyoto, Kyoto, 606-0851, Japan|Nara Medical University Hospital, Nara, Kashihara, 634-8522, Japan|Katayama Medical Clinic, Okayama, Kurashiki, 710-0813, Japan|National Hospital Organization Hizen Psychiatric Center, Saga, Kanzaki-gun, 842-0192, Japan|National Center Neurology and Psychiatry, Tokyo, Kodaira, 187-8551, Japan|Nozomi Memory Clinic, Tokyo, Mitaka, 181-0013, Japan|Showa University East Hospital, Tokyo, Shinagawa, 142-0054, Japan|Oslo Universitetssykehus HF, Hukommelsesklinikken, Oslo, N-0450, Norway|St. Olavs Hospital, Universitetssykehuset i Trondheim, Trondheim, N-7030, Norway|Podlassian Center of Psychogeriatry, Bialystok, Bialystok, 15-732, Poland|Non-Public Outpat. Clinic ""Dom Sue Ryder"", PALLMED Sp. z o.o, Bydgoszcz, 85-023, Poland|Non-Public Outpatient Clinic Neuro-Kard Ilkowski & Partners, Poznan, 61-853, Poland|EUROMEDIS Sp. z o.o., Szczecin, Szczecin, 70-111, Poland|Clin.Research Centre Clinsante SC Ewa Galczak-Nowak,Torun, Torun, 87-100, Poland|Hospital del Mar, Barcelona, 08003, Spain|Hospital Vall d'Hebron, Barcelona, 08035, Spain|Hospital Sant Joan de Deu de Manresa, Manresa, 08423, Spain|Hospital Universitari General de Catalunya, Sant Cugat del Vallès, 08190, Spain|Hospital Universitario Marqués de Valdecilla, Santander, 39008, Spain|Hospital Viamed Montecanal, Zaragoza, 50012, Spain|Royal Cornhill Hospital, Aberdeen, AB25 2ZH, United Kingdom|Fulbourn Hospital, Cambridge, CB21 5EF, United Kingdom|Ninewells Hospital & Medical School, Dundee, DD2 1SY, United Kingdom|Western General Hospital, Edinburgh, EH4 2XU, United Kingdom|Queen Elizabeth University Hospital, Glasgow, G51 4TF, United Kingdom|Warneford Hospital, Oxford, OX3 7JX, United Kingdom|Sheffield Memory Service, Sheffield, S10 3TH, United Kingdom"
NCT02337907,BI 409306 in Patients With Cognitive Impairment Due to Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT02337907,COMPLETED,Alzheimer Disease,DRUG: Placebo|DRUG: Placebo|DRUG: BI 409306|DRUG: Donepezil,Boehringer Ingelheim,,ALL,"ADULT, OLDER_ADULT",PHASE2,329,INTERVENTIONAL,2015-01-21,2017-10-10,"California Neuroscience Research, Sherman Oaks, California, 91403, United States|Bioclinica Research, Orlando, Florida, 32806, United States|Premiere Research Institute, West Palm Beach, Florida, 33407, United States|Indiana University, Indianapolis, Indiana, 46202, United States|Memory Enhancement Center of America, Inc., Eatontown, New Jersey, 07724, United States|Psychiatry And Alzheimer's Care of Rochester, PLLC, Rochester, New York, 14623, United States|Richmond Behavioral Associates, Staten Island, New York, 10312, United States|ANI Neurology, PLLC, dba Alzheimer's Memory Center, Charlotte, North Carolina, 28270, United States|Tulsa Clinical Research, LLC, Tulsa, Oklahoma, 74104, United States|The Memory Clinic, Bennington, Vermont, 05201, United States|Private Practice for Psychiatry and Neurology, Wien, 1130, Austria|Brussels-UNIV Brugmann -Horta, Brussel, 1020, Belgium|AZ Sint-Blasius, Dendermonde, 9200, Belgium|UNIV UZ Gent, Gent, 9000, Belgium|Mons - UNIV Ambroise Paré, Mons, 7000, Belgium|University of Calgary, Calgary, Alberta, T2N 4Z6, Canada|Dr. Alexander McIntyre Inc., Penticton, British Columbia, V2A 4M4, Canada|Pasqua Hospital, Regina, Saskatchewan, S4T 1A5, Canada|Institut universitaire de geriatrie Sherbrooke, Quebec, J1J 3H5, Canada|HOP Pellegrin, Bordeaux, 33076, France|HOP Bocage, Dijon, 21079, France|HOP Timone, Marseille, 13385, France|HOP Gui de Chauliac, Montpellier, 34295, France|HOP Nord Laënnec, Nantes, 44093, France|HOP La Pitié Salpêtrière, Paris, 75651, France|HOP Jean Bernard, Géria, Poitiers, Poitiers, 86021, France|Praxis Dr. med. Volker Schumann, Berlin, 10245, Germany|emovis GmbH, Berlin, 10629, Germany|St. Josef- und St. Elisabeth-Hospital gGmbH, Bochum, 44791, Germany|Neuro Centrum Science GmbH, Erbach, 64711, Germany|AFL Arzneimittelforschung Leipzig GmbH, Leipzig, 04107, Germany|Universitätsmedizin der Johannes Gutenberg-Universität Mainz, Mainz, 55131, Germany|Zentralinstitut für seelische Gesundheit, Mannheim, 68159, Germany|Universitätsklinikum Ulm, Ulm, 89081, Germany|Neurologie und Psychiatrie / Psychotherapie, Westerstede, 26655, Germany|P.O. Bellaria IRCCS Istituto delle scienze Neurologiche di Bologna, Bologna, 40139, Italy|Azienda Ospedaliera Careggi, Firenze, 50134, Italy|Azienda Ospedaliera di Parma, Parma, 43126, Italy|Jeroen Bosch Ziekenhuis-Hertogenbosch, 's-HERTOGENBOSCH, 5223 GZ, Netherlands|Brain Research Center, Amsterdam, 1081 GN, Netherlands|Podlassian Center of Psychogeriatry, Bialystok, Bialystok, 15-756, Poland|Mental Health Center Biomed, Kielce, 25-411, Poland|Non-Public Outpatient Clinic Neuromed M. i M. Nastaj, Lublin, 20-064, Poland|Inst. of Rural Health, Spec. Outp. Clin. & Rural Occup. Dis., Lublin, 20-090, Poland|Non-Public Outpatient Clinic Neuro-Kard Ilkowski & Partners, Poznan, 61-853, Poland|Medical Center Senior, Sopot, 81-855, Poland|EUROMEDIS Sp. z o.o., Szczecin, Szczecin, 70-111, Poland|Reg. Specialist Hospital Wroclaw, Research & Develop. Center, Wroclaw, 51-124, Poland|Hospital Fernando Fonseca, EPE, Amadora, 2700-276, Portugal|Hospital de Braga-Escala Braga, Braga, 4710-243, Portugal|CHUC - Centro Hospitalar e Universitário de Coimbra, EPE, Coimbra, 3000-075, Portugal|Hospital Senhora Oliveira Guimarães,EPE, Guimarães, 4835-044, Portugal|CHLO, EPE - Hospital Egas Moniz, Lisboa, 1349-019, Portugal|Hospital Beatriz Ângelo, Loures, 2674-514, Portugal|ULSM, EPE - Hospital Pedro Hispano, Matosinhos, 4454-509, Portugal|Centro Hospitalar de Entre o Douro e Vouga, E.P.E. - Hospital de São Sebastião, Santa Maria da Feira, 4520-211, Portugal|Royal United Hospital, Bath, BA1 3NG, United Kingdom|Ninewells Hospital & Medical School, Dundee, Scotland, DD19SY, United Kingdom|West Devon (Tavistock) CMHT & Memory Clinic (EDI), Ivybridge, PL219AB, United Kingdom|Re-Cognition Health, Plymouth, PL6 8BT, United Kingdom"
NCT05069155,The STEP 4Life Trial,https://clinicaltrials.gov/study/NCT05069155,COMPLETED,"Alzheimer Disease, At Risk|Alzheimer Disease, Protection Against|Dementia",BEHAVIORAL: Gamification,University of Pennsylvania,National Institute on Aging (NIA),ALL,"ADULT, OLDER_ADULT",NA,240,INTERVENTIONAL,2021-11-01,2023-01-02,"Blockley Hall, Philadelphia, Pennsylvania, 19104, United States"
NCT03061474,Nicotinamide as an Early Alzheimer's Disease Treatment,https://clinicaltrials.gov/study/NCT03061474,COMPLETED,Alzheimer's Disease|Mild Cognitive Impairment,DRUG: Nicotinamide|DRUG: Placebo Comparator,"University of California, Irvine",,ALL,"ADULT, OLDER_ADULT",PHASE2,46,INTERVENTIONAL,2017-07-12,2022-08-30,"University of California, Irvine, Irvine, California, 92697, United States|University of California, Los Angeles, Los Angeles, California, 90095, United States"
NCT03412604,Effect of Modulating Gamma Oscillations Using tACS,https://clinicaltrials.gov/study/NCT03412604,COMPLETED,Alzheimer Disease,DEVICE: Transcranial Alternating Current Stimulation (tACS),Massachusetts General Hospital,Defense Advanced Research Projects Agency,ALL,"ADULT, OLDER_ADULT",NA,5,INTERVENTIONAL,2018-08-02,2019-09-15,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02215, United States"
NCT03073876,Detecting an Early Response to Donepezil With Measures of Visual Attention,https://clinicaltrials.gov/study/NCT03073876,COMPLETED,Alzheimer Disease,DRUG: Donepezil Hydrochloride|DRUG: Placebo,NYU Langone Health,"Queens College, The City University of New York",ALL,"ADULT, OLDER_ADULT",PHASE4,25,INTERVENTIONAL,2005-12-01,2021-01-13,"Winthrop-University Hospital, Mineola, New York, 11501, United States"
NCT05225389,"Study to Assess the Absorption, Metabolism, Excretion, and Mass Balance of CT1812 in Healthy Adult Male Subjects",https://clinicaltrials.gov/study/NCT05225389,COMPLETED,Alzheimer Disease,DRUG: 300 mg [C14] CT1812,Cognition Therapeutics,National Institute on Aging (NIA),MALE,ADULT,PHASE1,8,INTERVENTIONAL,2021-12-31,2022-01-24,"Celerion, Lincoln, Nebraska, 68502, United States"
NCT05218018,Triglyceride Effects on Blood Flow in the Human Brain,https://clinicaltrials.gov/study/NCT05218018,COMPLETED,Alzheimer Disease,DIETARY_SUPPLEMENT: Lipid drink,University of Washington,National Institute on Aging (NIA),ALL,"ADULT, OLDER_ADULT",NA,30,INTERVENTIONAL,2020-03-01,2022-01-13,"University of Washington Medical Center, Seattle, Washington, 98104, United States"
NCT03537729,Effects of Visual Cues and Education for People Who Live Within Long Term Care Communities to Assist in Wayfinding,https://clinicaltrials.gov/study/NCT03537729,COMPLETED,Alzheimer Disease|Alzheimer Dementia|Age-Related Memory Disorders|Dementia,BEHAVIORAL: Salient Cues|BEHAVIORAL: Spaced Retrieval Education,Grand Valley State University,Michigan State University,ALL,"ADULT, OLDER_ADULT",NA,172,INTERVENTIONAL,2019-06-12,2023-10-23,"Grand Valley State University, Allendale, Michigan, 49401, United States|Brush Development, Chardon, Ohio, 44024, United States"
NCT05227820,Insulin-Sensitizing Anti-Inflammatory Small Molecule for Investigative Treatment of Dementia,https://clinicaltrials.gov/study/NCT05227820,COMPLETED,Alzheimer Disease,DRUG: NE3107,Neurological Associates of West Los Angeles,BioVie Inc.,ALL,"ADULT, OLDER_ADULT",PHASE2,23,INTERVENTIONAL,2022-01-19,2022-08-20,"Neurological Associates - The Interventional Group, Santa Monica, California, 90403, United States"
NCT04805983,"Evaluating the Safety, Tolerability, Pharmacokinetics and Receptor Occupancy of BMS-984923",https://clinicaltrials.gov/study/NCT04805983,COMPLETED,Alzheimer Disease,DRUG: BMS-984923,Yale University,National Institute on Aging (NIA),ALL,"ADULT, OLDER_ADULT",PHASE1,36,INTERVENTIONAL,2021-03-25,2022-04-24,"Yale University, New Haven, Connecticut, 06520, United States"
NCT04489303,Virtual Patient Behavioral Response Training for Family Caregivers,https://clinicaltrials.gov/study/NCT04489303,COMPLETED,Alzheimer Disease,BEHAVIORAL: Caring Response App|BEHAVIORAL: Traditional Educational/Resources Program,"Photozig, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE2,156,INTERVENTIONAL,2020-05-15,2021-05-30,"Photozig, Inc., Mountain View, California, 94035-0128, United States"
NCT03503669,Reducing Risk for Alzheimer's Disease in High-Risk Women Through Yogic Meditation Training,https://clinicaltrials.gov/study/NCT03503669,COMPLETED,Mild Cognitive Impairment|Alzheimer's Disease,BEHAVIORAL: Memory Training|BEHAVIORAL: Kundalini yoga and meditation,"University of California, Los Angeles",Alzheimer's Research and Prevention Foundation,FEMALE,"ADULT, OLDER_ADULT",NA,100,INTERVENTIONAL,2018-05-01,2021-02-01,"UCLA Semel Institute, Los Angeles, California, 90095, United States"
NCT04394845,A Study of the Biodistribution and Safety of [18F]GTP1 in Healthy Japanese Participants,https://clinicaltrials.gov/study/NCT04394845,COMPLETED,Alzheimer Disease,DIAGNOSTIC_TEST: [18F]GTP1,"Genentech, Inc.",Invicro,ALL,"ADULT, OLDER_ADULT",PHASE1,6,INTERVENTIONAL,2020-08-11,2020-10-09,"Invicro, a Konica Minolta company, New Haven, Connecticut, 06510, United States"
NCT04555616,Environmental Design for Behavioral Regulation in People With Dementia,https://clinicaltrials.gov/study/NCT04555616,COMPLETED,Alzheimer Disease,BEHAVIORAL: Standard Environmental Design|BEHAVIORAL: Individual Environmental Design|BEHAVIORAL: Placebo,Elizabeth K Rhodus,National Institute on Aging (NIA),ALL,"ADULT, OLDER_ADULT",NA,30,INTERVENTIONAL,2021-01-25,2021-10-13,"University of Kentcuky, Lexington, Kentucky, 40536, United States"
NCT03901092,A Reader Study to Assess Accuracy and Reliability of Flortaucipir F 18 Positron Emission Tomography (PET) Scan Interpretation,https://clinicaltrials.gov/study/NCT03901092,COMPLETED,Alzheimer Disease,DRUG: flortaucipir F 18,Avid Radiopharmaceuticals,,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,242,INTERVENTIONAL,2019-03-26,2019-04-26,"American College of Radiology, Philadelphia, Pennsylvania, 19103, United States"
NCT03543878,Stimulating Neural Activity to Improve Blood Flow and Reduce Amyloid: Path to Clinical Trials,https://clinicaltrials.gov/study/NCT03543878,COMPLETED,Alzheimer Disease,DEVICE: Flicker,Emory University,Georgia Institute of Technology,ALL,"ADULT, OLDER_ADULT",NA,10,INTERVENTIONAL,2018-11-16,2020-02-10,"12 Executive Park Drive, Atlanta, Georgia, 30329, United States"
NCT03467477,Tau Screening Study in Subjects With Early Symptomatic AD,https://clinicaltrials.gov/study/NCT03467477,COMPLETED,Alzheimer Disease,DRUG: Flortaucipir F18|PROCEDURE: Brain PET Scan,Avid Radiopharmaceuticals,,ALL,"ADULT, OLDER_ADULT",PHASE2,161,INTERVENTIONAL,2018-03-08,2018-11-15,"Irvine Center for Clinical Research, Irvine, California, 92614, United States|Brain Matters Research, Delray Beach, Florida, 33445, United States|Neuropsychiatric Research Center of Southwest Florida, Fort Myers, Florida, 33912, United States|Renstar Medical Research, Ocala, Florida, 34470, United States|BioClinica Research, Orlando, Florida, 32806, United States|Progressive Medical Research, Port Orange, Florida, 32127, United States|Great Lakes Clinical Trials, Chicago, Illinois, 60640, United States|Cotton O'neil Clinical Research Center, Topeka, Kansas, 66606, United States|Butler Hospital, Providence, Rhode Island, 02906, United States"
NCT04730635,Cognition Platform Study in Participants at Risk for Alzheimer's Disease (AD) (MK-0000-413),https://clinicaltrials.gov/study/NCT04730635,COMPLETED,Alzheimer's Disease|Mild Cognitive Impairment,DRUG: Donepezil|DRUG: Placebo,Merck Sharp & Dohme LLC,,ALL,"ADULT, OLDER_ADULT",PHASE1,44,INTERVENTIONAL,2021-03-23,2023-02-06,"Collaborative Neuroscience Network ( Site 0010), Long Beach, California, 90806, United States|Velocity Clinical Research, Hallandale Beach ( Site 0013), Hallandale Beach, Florida, 33009, United States|Charter Research - Lady Lake ( Site 0025), Lady Lake, Florida, 32159, United States|iResearch Atlanta ( Site 0005), Decatur, Georgia, 30030, United States|iResearch Savannah ( Site 0023), Savannah, Georgia, 31405, United States|Pennington Biomedical Research Center ( Site 0006), Baton Rouge, Louisiana, 70808, United States|Insight Clinical Trials ( Site 0020), Beachwood, Ohio, 44122, United States|North Texas Clinical Trials - Fort Worth - West Rosedale ( Site 0022), Fort Worth, Texas, 76104, United States|Royal Adelaide Hospital-CALHN Memory Trials ( Site 0031), Adelaide, South Australia, 5000, Australia|Austin Health ( Site 0030), Heidelberg, Victoria, 3084, Australia"
NCT01972204,Intensive Instruction on the Use of Aricept,https://clinicaltrials.gov/study/NCT01972204,COMPLETED,Alzheimer's Type Dementia,BEHAVIORAL: Intensive adherence instruction|BEHAVIORAL: Control,"Mirai Iryo Research Center, Inc.",,ALL,"CHILD, ADULT, OLDER_ADULT",NA,125,INTERVENTIONAL,2013-09,2017-08,"Shonan Fujisawa Tokushukai Hospital, Fujisawa, Kanagawa, Japan"
NCT03784300,A Safety Study of PTI-125 in Healthy Volunteers,https://clinicaltrials.gov/study/NCT03784300,COMPLETED,"Alzheimer Disease, Early Onset|Alzheimer Disease",DRUG: 50 mg PTI-125|DRUG: 100 mg PTI-125|DRUG: 200 mg PTI-125,Pain Therapeutics,National Institute on Aging (NIA),ALL,ADULT,PHASE1,24,INTERVENTIONAL,2017-08-18,2018-03-27,"Worldwide Clinical Trials, San Antonio, Texas, 78217, United States"
